,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset(['Resist Anti-Aging Clear Skin Hydrator - 60 ml']),frozenset(['Skin Balancing Pore-Reducing Toner - 190 ml']),0.0296093393335,0.0485227939738,0.00202178308224,0.068281938326,1.40721365639,0.000585055210063,1.02120721403
1,frozenset(['Skin Balancing Pore-Reducing Toner - 190 ml']),frozenset(['Resist Anti-Aging Clear Skin Hydrator - 60 ml']),0.0485227939738,0.0296093393335,0.00202178308224,0.0416666666667,1.40721365639,0.000585055210063,1.01258155896
2,frozenset(['Skin Balancing Ultra-Sheer Daily Defense SPF 30 - 60 ml']),frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),0.0118046044479,0.0336529054979,0.0014348138003,0.121546961326,3.61178208917,0.00103755456237,1.10005549751
3,frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),frozenset(['Skin Balancing Ultra-Sheer Daily Defense SPF 30 - 60 ml']),0.0336529054979,0.0118046044479,0.0014348138003,0.0426356589147,3.61178208917,0.00103755456237,1.03220409738
4,frozenset(['Resist Weightless Body Lotion 2% BHA (Salicylic Acid) - 210 ml']),frozenset(['Resist Daily Pore-Refining Treatment 2% BHA (Salicylic Acid) - 88 ml']),0.0269353681602,0.0525011413292,0.00156525141851,0.0581113801453,1.10685936866,0.000151113847979,1.0059563718
5,frozenset(['Resist Daily Pore-Refining Treatment 2% BHA (Salicylic Acid) - 88 ml']),frozenset(['Resist Weightless Body Lotion 2% BHA (Salicylic Acid) - 210 ml']),0.0525011413292,0.0269353681602,0.00156525141851,0.0298136645963,1.10685936866,0.000151113847979,1.00296674601
6,frozenset(['Resist Weightless Advanced Repairing Toner - 118 ml']),frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),0.035544250962,0.0336529054979,0.00163047022761,0.045871559633,1.3630787284,0.000434302908995,1.01280608943
7,frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),frozenset(['Resist Weightless Advanced Repairing Toner - 118 ml']),0.0336529054979,0.035544250962,0.00163047022761,0.0484496124031,1.3630787284,0.000434302908995,1.01356245724
8,frozenset(['Resist Whitening Essence - 30 ml']),frozenset(['Resist Hyaluronic Acid Booster - 20 ml']),0.0193047674949,0.0208700189135,0.00123915737299,0.0641891891892,3.07566511824,0.000836266510247,1.04629052131
9,frozenset(['Resist Hyaluronic Acid Booster - 20 ml']),frozenset(['Resist Whitening Essence - 30 ml']),0.0208700189135,0.0193047674949,0.00123915737299,0.059375,3.07566511824,0.000836266510247,1.04259958273
10,frozenset(['Skin Perfecting 2% BHA (Salicylic Acid) Liquid Exfoliator - 118 ml']),frozenset(['Skin Balancing Pore-Reducing Toner - 190 ml']),0.0301310898063,0.0485227939738,0.00189134546403,0.0627705627706,1.29363042871,0.000429300801155,1.01520200735
